,price,condition,num_reviews,pos_feedback_pct,return_days,model,capacity,release_year
6808,329.99,3.0,109314.0,98.5,2.0,14,256.0,2018
6811,16.9,0.0,193.0,100.0,0.0,4,16.0,2012
6812,192.99,1.0,5425.0,100.0,2.0,13,64.0,2018
6813,104.99,1.0,7053.0,99.9,2.0,10,32.0,2016
6814,365.59,6.0,190.0,98.6,2.0,11,256.0,2017
6816,19.61,6.0,615.0,98.2,2.0,15,124.43806104129264,2019
6817,299.0,4.0,60973.0,100.0,2.0,14,64.0,2018
6818,23.99,6.0,615.0,98.2,2.0,15,124.43806104129264,2019
6819,67.46,1.0,136775.0,98.8,2.0,7,16.0,2014
6820,34.99,1.0,3617.0,99.7,0.0,4,22.93975903614458,2012
6821,65.0,1.0,66.0,100.0,0.0,7,64.0,2014
6822,219.59,6.0,190.0,98.6,2.0,8,64.0,2015
6823,300.0,5.0,80245.0,99.7,2.0,13,64.0,2018
6824,34.28,6.0,744.0,95.0,3.0,12,140.52173913043478,2017
6825,419.95,2.0,82194.0,98.4,3.0,15,64.0,2019
6827,25.0,0.0,846.0,96.5,0.0,7,16.0,2014
6828,309.79,6.0,72.0,96.4,2.0,11,64.0,2017
6829,224.99,0.0,2840.0,100.0,2.0,12,64.0,2017
6830,70.0,1.0,20.0,100.0,0.0,7,16.0,2014
6831,504.98,1.0,1821.0,95.2,0.0,8,128.0,2015
6833,45.99,0.0,47567.0,98.3,3.0,7,16.0,2014
6834,219.66,6.0,56.0,100.0,2.0,8,64.0,2015
6835,29.98,6.0,75.0,100.0,2.0,13,89.74946921443737,2018
6836,10.44,6.0,351.0,98.6,2.0,17,177.7258064516129,2021
6837,275.11,1.0,6199.0,99.7,2.0,14,64.0,2018
6838,24.11,6.0,1569.0,96.0,3.0,11,92.72343149807938,2017
6839,13.99,6.0,310.0,98.0,3.0,15,124.43806104129264,2019
6840,26.26,6.0,75.0,100.0,2.0,11,92.72343149807938,2017
6842,154.99,1.0,158.0,95.6,2.0,10,32.0,2016
6843,400.0,1.0,7.0,100.0,0.0,15,64.0,2019
6844,89.99,1.0,1015.0,100.0,0.0,7,16.0,2014
6845,40.0,1.0,323.0,100.0,0.0,6,16.0,2013
6846,120.0,1.0,1576.0,97.5,0.0,10,32.0,2016
6848,270.0,1.0,1597.0,100.0,1.0,10,128.0,2016
6850,22.64,6.0,1569.0,96.0,3.0,7,35.82608695652174,2014
6851,84.55,0.0,1938.0,99.4,2.0,8,16.0,2015
6852,319.95,5.0,8258.0,100.0,2.0,13,64.0,2018
6853,126.0,1.0,5147.0,99.3,2.0,8,16.0,2015
6854,229.99,0.0,2840.0,100.0,2.0,14,64.0,2018
6855,125.0,1.0,52.0,100.0,0.0,8,16.0,2015
6856,305.59,6.0,190.0,98.6,2.0,11,64.0,2017
6857,305.59,6.0,190.0,98.6,2.0,11,64.0,2017
6858,117.99,2.0,54737.0,99.4,3.0,10,32.0,2016
6859,150.0,1.0,202.0,100.0,0.0,10,128.0,2016
6860,42.08,6.0,744.0,95.0,3.0,14,177.84242424242424,2018
6861,36.0,1.0,5680.0,99.4,2.0,6,16.0,2013
6862,120.0,1.0,289.0,100.0,0.0,10,32.0,2016
6864,220.99,4.0,54737.0,99.4,3.0,10,128.0,2016
6865,190.08,1.0,6199.0,99.7,2.0,12,64.0,2017
6866,47.99,1.0,368.0,98.8,2.0,5,16.0,2013
6867,264.95,1.0,915.0,100.0,3.0,13,64.0,2018
6868,92.75,1.0,5460.0,98.5,2.0,11,64.0,2017
6869,99.99,0.0,134.0,100.0,0.0,10,32.0,2016
6870,998.95,0.0,5345.0,100.0,0.0,17,128.0,2021
6871,205.99,3.0,54737.0,99.4,3.0,12,64.0,2017
6872,395.0,1.0,794.0,100.0,0.0,12,64.0,2017
6873,179.55,1.0,1938.0,99.4,2.0,10,256.0,2016
6874,244.79,6.0,72.0,96.4,2.0,8,128.0,2015
6875,23.01,6.0,1543.0,96.9,3.0,11,92.72343149807938,2017
6876,42.75,0.0,1938.0,99.4,2.0,7,16.0,2014
6877,20.0,0.0,1040.0,98.1,0.0,5,13.44,2013
6878,30.48,6.0,615.0,98.2,2.0,16,138.7663551401869,2020
6879,159.99,2.0,1774.0,100.0,2.0,10,32.0,2016
6880,55.0,0.0,433.0,98.4,0.0,8,56.774193548387096,2015
6881,140.0,1.0,562.0,100.0,0.0,7,64.0,2014
6882,99.0,0.0,13477.0,98.8,0.0,10,78.54110612855007,2016
6883,149.98,1.0,154477.0,98.0,2.0,10,128.0,2016
6884,9.99,6.0,848.0,99.5,0.0,10,78.54110612855007,2016
6885,160.0,1.0,1725.0,100.0,0.0,10,128.0,2016
6886,221.89,6.0,145.0,97.3,2.0,8,64.0,2015
6887,19.99,0.0,879.0,100.0,0.0,7,16.0,2014
6888,119.99,1.0,1326.0,100.0,2.0,10,32.0,2016
6889,399.99,1.0,2840.0,100.0,2.0,15,64.0,2019
6890,75.55,0.0,507.0,96.8,0.0,10,32.0,2016
6891,974.99,0.0,2840.0,100.0,2.0,17,256.0,2021
6892,759.99,1.0,1379.0,99.5,0.0,17,128.0,2021
6894,686.99,4.0,54737.0,99.4,3.0,15,256.0,2019
6895,22.18,6.0,1569.0,96.0,3.0,10,78.54110612855007,2016
6896,19.99,6.0,475.0,97.9,2.0,17,177.7258064516129,2021
6898,39.77,0.0,23607.0,99.8,0.0,10,78.54110612855007,2016
6899,180.0,5.0,329.0,100.0,0.0,10,32.0,2016
6900,25.0,0.0,257.0,100.0,0.0,9,16.0,2016
6901,184.0,4.0,21989.0,99.8,3.0,10,128.0,2016
6902,219.99,1.0,6904.0,99.9,3.0,11,64.0,2017
6903,69.99,1.0,2399.0,100.0,2.0,7,16.0,2014
6904,80.0,1.0,5070.0,99.0,0.0,7,16.0,2014
6905,50.0,1.0,1576.0,97.5,0.0,5,16.0,2013
6906,350.0,1.0,71.0,91.7,0.0,13,64.0,2018
6907,175.0,0.0,139.0,100.0,0.0,8,128.0,2015
6908,219.66,6.0,56.0,100.0,2.0,8,64.0,2015
6909,164.99,1.0,10176.0,99.3,0.0,10,128.0,2016
6910,29.26,6.0,744.0,95.0,3.0,9,65.08936170212766,2016
6911,189.99,1.0,6199.0,99.7,2.0,13,64.0,2018
6912,196.02,1.0,6199.0,99.7,2.0,11,92.72343149807938,2017
